1	C0000084	2
2	C0000096	2
3	C0000097	2
4	C0000098	2
5	C0000102	2
6	C0000103	2
7	C0000119	2
8	C0000139	2
9	C0000151	2
10	C0000163	2
11	C0000167	2
12	C0000172	2
13	C0000194	2
14	C0000215	2
15	C0000220	2
16	C0000248	2
17	C0000254	2
18	C0000257	2
19	C0000263	2
20	C0000266	2
21	C0000275	2
22	C0000287	2
23	C0000289	2
24	C0000294	2
25	C0000300	2
26	C0000325	2
27	C0000359	2
28	C0000360	2
29	C0000370	2
30	C0000376	2
31	C0000378	2
32	C0000392	2
33	C0000407	2
34	C0000424	2
35	C0000464	2
36	C0000473	2
37	C0000477	2
38	C0000481	2
39	C0000488	2
40	C0000498	2
41	C0000506	2
42	C0000511	2
43	C0000530	2
44	C0000534	2
45	C0000545	2
46	C0000546	2
47	C0000551	2
48	C0000589	2
49	C0000598	2
50	C0000610	2
51	C0000617	2
52	C0000618	2
53	C0000641	2
54	C0000661	2
55	C0000665	2
56	C0000677	2
57	C0000699	2
58	C0000726	8
59	C0000733	8
60	C0000735	3
61	C0000737	3
62	C0000739	8
63	C0000744	3
64	C0000768	8
65	C0000771	8
66	C0000772	8
67	C0000773	8
68	C0000786	3
69	C0000809	3
70	C0000817	3
71	C0000820	8
72	C0000821	3
73	C0000823	3
74	C0000829	2
75	C0000832	3
76	C0000833	3
77	C0000843	2
78	C0000853	8
79	C0000854	8
80	C0000855	2
81	C0000872	8
82	C0000880	3
83	C0000887	3
84	C0000889	3
85	C0000918	8
86	C0000924	8
87	C0000946	2
88	C0000956	2
89	C0000964	2
90	C0000966	2
91	C0000968	2
92	C0000974	2
93	C0000979	2
94	C0000981	2
95	C0000983	2
96	C0000985	2
97	C0000987	2
98	C0000988	2
99	C0000999	2
100	C0001002	2
101	C0001026	2
102	C0001038	5
103	C0001041	2
104	C0001047	2
105	C0001056	2
106	C0001060	2
107	C0001068	2
108	C0001072	8
109	C0001074	8
110	C0001075	3
111	C0001079	8
112	C0001080	3
113	C0001111	2
114	C0001117	5
115	C0001118	3
116	C0001120	2
117	C0001122	3
118	C0001125	3
119	C0001126	3
120	C0001127	3
121	C0001128	2
122	C0001129	2
123	C0001130	2
124	C0001131	2
125	C0001132	2
126	C0001133	2
127	C0001134	2
128	C0001143	2
129	C0001144	3
130	C0001145	3
131	C0001156	2
132	C0001159	2
133	C0001162	8
134	C0001163	3
135	C0001164	8
136	C0001175	3
137	C0001185	2
138	C0001186	2
139	C0001193	8
140	C0001197	3
141	C0001198	8
142	C0001204	2
143	C0001206	3
144	C0001216	1
145	C0001218	2
146	C0001219	2
147	C0001222	2
148	C0001223	2
149	C0001245	2
150	C0001246	2
151	C0001247	3
152	C0001248	7
153	C0001249	3
154	C0001253	7
155	C0001254	7
156	C0001255	3
157	C0001259	2
158	C0001261	3
159	C0001264	3
160	C0001268	2
161	C0001271	2
162	C0001283	8
163	C0001285	8
164	C0001288	8
165	C0001296	8
166	C0001300	8
167	C0001338	3
168	C0001347	2
169	C0001349	3
170	C0001367	2
171	C0001374	2
172	C0001383	8
173	C0001390	2
174	C0001392	2
175	C0001398	8
176	C0001400	5
177	C0001403	3
178	C0001407	2
179	C0001412	2
